Item Fat Content	Item Identifier	Item Type	Outlet Establishment Year	Outlet Identifier	Outlet Location Type	Outlet Size	Outlet Type	Total Sales	Rating
Regular	FDX32	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	145.4786	5
Low Fat	NCB42	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	115.3492	5
Regular	FDR28	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	165.021	5
Regular	FDL50	Canned	2000	OUT013	Tier 3	High	Supermarket Type1	126.5046	5
Low Fat	DRI25	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	55.1614	5
low fat	FDS52	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	102.4016	5
Low Fat	NCU05	Health and Hygiene	2011	OUT010	Tier 3	Small	Grocery Store	81.4618	5
Low Fat	NCD30	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	96.0726	5
Low Fat	FDW20	Fruits and Vegetables	2000	OUT013	Tier 3	High	Supermarket Type1	124.173	5
Low Fat	FDX25	Canned	1998	OUT027	Tier 3	Medium	Supermarket Type3	181.9292	5
Low Fat	FDX21	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	109.8912	5
Low Fat	NCU41	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	192.1846	5
Low Fat	FDL20	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	112.3886	5
Low Fat	NCR54	Household	2000	OUT013	Tier 3	High	Supermarket Type1	195.211	5
Low Fat	FDH19	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	173.1738	5
Regular	FDB57	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	222.1772	5
Low Fat	FDO23	Breads	2022	OUT018	Tier 3	Medium	Supermarket Type2	93.7436	5
Low Fat	NCB07	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	197.611	5
Low Fat	FDJ56	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	98.77	5
Low Fat	DRN47	Hard Drinks	2022	OUT018	Tier 3	Medium	Supermarket Type2	178.566	5
Regular	FDZ07	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	60.2194	5
Low Fat	NCK31	Others	1998	OUT027	Tier 3	Medium	Supermarket Type3	50.9666	5
Low Fat	FDJ41	Frozen Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	261.6594	5
Low Fat	DRI51	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	173.1764	5
Regular	FDC40	Dairy	2020	OUT017	Tier 2	Medium	Supermarket Type1	76.1986	5
Low Fat	FDB53	Frozen Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	150.2392	5
Low Fat	FDA16	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	221.9456	5
Regular	FDO19	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	47.4034	5
Low Fat	FDO04	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	57.2614	5
Regular	FDL25	Breakfast	2012	OUT049	Tier 1	Medium	Supermarket Type1	93.1804	5
Low Fat	NCJ30	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	167.779	5
Low Fat	NCQ41	Health and Hygiene	2000	OUT013	Tier 3	High	Supermarket Type1	196.3794	5
Low Fat	DRJ35	Hard Drinks	2000	OUT013	Tier 3	High	Supermarket Type1	59.9878	5
Low Fat	NCE31	Household	2000	OUT013	Tier 3	High	Supermarket Type1	35.4216	5
Low Fat	FDY09	Snack Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	174.3054	5
low fat	FDZ04	Frozen Foods	2000	OUT013	Tier 3	High	Supermarket Type1	61.651	5
Low Fat	FDY07	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	46.8402	5
Regular	FDO45	Snack Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	88.6856	5
Low Fat	FDB09	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	126.2046	5
Regular	FDP51	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	119.6124	5
Regular	FDT50	Dairy	2000	OUT013	Tier 3	High	Supermarket Type1	95.6752	5
Regular	FDQ08	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	62.9536	5
Low Fat	DRL11	Hard Drinks	2015	OUT045	Tier 2	Medium	Supermarket Type1	159.0946	5
Low Fat	FDT34	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	104.2964	5
Regular	FDP01	Breakfast	2011	OUT010	Tier 3	Medium	Grocery Store	150.5682	5
Low Fat	NCJ31	Others	2000	OUT013	Tier 3	High	Supermarket Type1	239.2196	5
Low Fat	NCL30	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	127.3336	5
Low Fat	FDF04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	256.3304	5
Low Fat	NCZ42	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	235.5248	5
Low Fat	FDG24	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	82.425	5
Low Fat	FDV49	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	264.6226	5
Low Fat	FDX01	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	114.915	5
Low Fat	DRF27	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	152.234	5
Low Fat	FDF16	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	147.2076	5
Low Fat	FDU04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	122.1414	5
Low Fat	FDP04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	62.7168	5
Low Fat	FDD05	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	120.9098	5
Low Fat	FDV07	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	111.1228	5
Low Fat	FDT20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	39.2164	5
Low Fat	FDC44	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	111.9518	5
Low Fat	DRM59	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	153.8998	5
Low Fat	DRG23	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	153.3682	5
Low Fat	NCJ29	Health and Hygiene	2012	OUT049	Tier 1	Medium	Supermarket Type1	84.7224	5
Low Fat	NCM42	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	110.0912	5
Low Fat	NCY42	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	144.947	5
Low Fat	NCX54	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	107.7622	5
Low Fat	NCI06	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	180.766	5
Low Fat	NCQ02	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	186.9556	5
Low Fat	NCR38	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	253.4724	5
Low Fat	NCM30	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	41.9796	5
Low Fat	FDK43	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	126.302	5
Low Fat	FDK21	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	249.6408	5
Low Fat	FDR45	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	239.2222	5
Low Fat	FDV09	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	147.5734	5
Regular	FDU12	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	261.7568	5
Regular	FDZ47	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	99.8042	5
Regular	FDO11	Breads	2012	OUT049	Tier 1	Medium	Supermarket Type1	247.4092	5
Regular	FDU49	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	85.554	5
Regular	FDA02	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	145.4786	5
Regular	FDV26	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	194.2794	5
Regular	FDA04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	257.2962	5
